,Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
38,2019-01-17,151242,Female,16,Single,Texas,Gold,self-employed,PayPal,1,938.16
39,2019-01-18,151243,Female,63,Married,Maine,Gold,workers,PayPal,1,281.92
40,2019-01-19,151244,Male,75,Single,Massachusetts,Basic,Employees,PayPal,1,747.68
41,2019-01-20,151245,Male,70,Married,Wyoming,Basic,Unemployment,Card,1,1784.15
42,2019-01-20,151246,Male,41,Single,Kentucky,Missing,Employees,PayPal,1,1115.9
43,2019-01-21,151247,Male,33,Married,Florida,Silver,Employees,Other,0,1902.47
44,2019-01-21,151248,Female,64,Single,Massachusetts,Platinum,self-employed,Card,1,1949.92
45,2019-01-22,151250,Female,16,Married,Maryland,Silver,Employees,PayPal,1,583.72
46,2019-01-22,151251,Male,56,Single,Louisiana,Basic,self-employed,Card,0,2445.03
47,2019-01-22,151252,Male,35,Married,North Carolina,Basic,Unemployment,PayPal,1,1107.96
48,2019-01-23,151253,Male,51,Single,Kentucky,Basic,self-employed,PayPal,1,1312.78
49,2019-01-23,151254,Male,15,Married,Illinois,Basic,Employees,Card,1,2690.18
50,2019-01-24,151255,Male,26,Single,Rhode Island,Basic,workers,PayPal,1,2603.22
51,2019-01-25,151256,Female,67,Single,Iowa,Gold,Employees,PayPal,1,611.7
52,2019-01-25,151257,Male,71,Single,Massachusetts,Gold,Employees,PayPal,1,2569.67
53,2019-01-25,151258,Female,32,Single,South Carolina,Basic,Employees,Other,1,676.7
54,2019-01-25,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
55,2019-01-26,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
56,2019-01-26,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,1,515.77
57,2019-01-26,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
58,2019-01-27,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
59,2019-01-25,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
60,2019-01-26,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
61,2019-01-26,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,1,515.77
62,2019-01-26,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
63,2019-01-27,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
64,2019-01-27,151264,Male,52,Married,Tennessee,Basic,self-employed,PayPal,1,2850.48
65,2019-01-27,151265,Female,30,Single,California,Silver,workers,Card,0,1947.2
66,2019-01-29,151266,Male,24,Married,Colorado,Platinum,workers,PayPal,0,1731.54
67,2019-01-29,151267,Male,37,Single,Ohio,Basic,Unemployment,Other,1,52.08
68,2019-01-29,151269,Male,21,Married,Montana,Basic,Employees,PayPal,1,340.38
69,2019-01-29,151270,Male,24,Married,Oregon,Silver,workers,Other,1,1663.72
70,2019-01-30,151271,Female,48,Married,North Dakota,Basic,Unemployment,Card,1,828.41
71,2019-01-30,151272,Female,69,Single,Texas,Missing,workers,Card,1,489.47
72,2019-01-30,151273,Female,73,Married,Alaska,Platinum,self-employed,PayPal,0,1364.31
73,2019-01-30,151274,Male,50,Single,Oklahoma,Missing,Employees,Card,1,2943.46
74,2019-01-30,151275,Male,28,Single,Connecticut,Basic,Unemployment,Card,1,2768.15
75,2019-01-31,151276,Female,49,Married,Vermont,Basic,workers,PayPal,1,2439.65
76,2019-01-31,151277,Female,70,Married,Ohio,Silver,workers,Other,1,574.1
77,2019-02-01,151278,Female,61,Single,Oklahoma,Basic,self-employed,Card,0,206.79
78,2019-02-02,151280,Male,34,Single,Illinois,Silver,workers,PayPal,1,1933.66
79,2019-02-02,151281,Female,58,Married,Nevada,Gold,workers,Card,0,2640.72
80,2019-02-02,151282,Male,70,Single,New Jersey,Basic,workers,PayPal,0,2969.24
81,2019-02-02,151283,Female,48,Married,Louisiana,Silver,Employees,Other,0,1144.28
82,2019-02-03,151285,Female,51,Married,Indiana,Platinum,workers,PayPal,1,2722.37
83,2019-02-03,151286,Male,45,Single,New York,Basic,Employees,Other,0,2823.89
84,2019-02-04,151287,Female,45,Single,New York,Silver,workers,PayPal,0,1955.43
85,2019-02-04,151288,Male,60,Married,Rhode Island,Silver,Employees,Card,1,841.26
86,2019-02-05,151290,Female,51,Single,Arkansas,Platinum,workers,Card,1,2547.96
87,2019-02-05,151291,Female,15,Single,Virginia,Basic,Unemployment,Card,1,2922.97
88,2019-02-05,151292,Male,55,Married,Michigan,Basic,Employees,PayPal,0,803.5
89,2019-02-06,151293,Male,75,Married,Maryland,Basic,Employees,Card,1,1612.63
90,2019-02-06,151294,Female,77,Single,Nebraska,Platinum,Employees,PayPal,1,1608.27
91,2019-02-06,151295,Female,22,Married,Kansas,Missing,workers,Card,0,2061.14
92,2019-02-06,151296,Female,33,Married,Virginia,Platinum,Employees,PayPal,0,2989.33
93,2019-02-06,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
94,2019-02-07,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
95,2019-02-08,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
96,2019-02-08,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
97,2019-02-08,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
98,2019-02-08,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
99,2019-02-06,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
100,2019-02-07,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
101,2019-02-08,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
102,2019-02-08,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
103,2019-02-08,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
104,2019-02-08,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
105,2019-02-10,151305,Female,25,Married,Wyoming,Silver,workers,Other,1,309.82
106,2019-02-10,151306,Female,76,Single,Ohio,Basic,self-employed,PayPal,1,1331.62
107,2019-02-11,151307,Female,43,Married,Wyoming,Basic,Employees,Card,1,914.94
108,2019-02-11,151308,Female,32,Single,Oregon,Basic,workers,PayPal,1,2922.53
109,2019-02-11,151309,Male,43,Married,Tennessee,Silver,self-employed,PayPal,0,2434.81
110,2019-02-12,151310,Female,19,Single,Louisiana,Platinum,workers,Card,0,1711.6
111,2019-02-12,151311,Female,41,Married,Utah,Basic,self-employed,Other,0,1178.02
112,2019-02-12,151312,Male,32,Married,Florida,Silver,Employees,PayPal,1,15.37
113,2019-02-12,151313,Male,76,Single,Michigan,Silver,Unemployment,PayPal,1,764.34
114,2019-02-12,151314,Female,55,Married,Kansas,Platinum,Employees,PayPal,1,329.18
115,2019-02-13,151315,Female,72,Single,South Dakota,Basic,Unemployment,Other,0,1380.0
116,2019-02-13,151316,Male,56,Single,Virginia,Platinum,self-employed,PayPal,1,46.72
117,2019-02-13,151317,Male,74,Single,Connecticut,Basic,workers,Other,1,560.13
118,2019-02-13,151319,Female,54,Married,Georgia,Basic,Unemployment,Other,1,1034.15
119,2019-02-14,151320,Female,31,Married,Washington,Missing,self-employed,Card,1,2508.55
120,2019-02-14,151321,Female,69,Single,Montana,Basic,self-employed,PayPal,1,2906.08
121,2019-02-15,151322,Male,52,Single,Michigan,Gold,Unemployment,PayPal,1,1093.33
122,2019-02-15,151323,Female,15,Married,Alaska,Basic,self-employed,Other,0,1408.1
123,2019-02-16,151324,Male,74,Single,Wisconsin,Basic,workers,Card,0,490.37
124,2019-02-17,151326,Male,24,Married,Louisiana,Missing,Employees,Other,0,1204.03
125,2019-02-17,151327,Female,77,Single,Kansas,Platinum,self-employed,PayPal,0,200.58
126,2019-02-18,151328,Female,16,Married,Georgia,Basic,workers,PayPal,0,1253.32
127,2019-02-19,151329,Female,33,Single,Kentucky,Basic,Employees,Card,0,1486.32
128,2019-02-19,151330,Male,26,Married,Idaho,Basic,Unemployment,PayPal,0,1461.49
129,2019-02-20,151331,Male,28,Single,West Virginia,Platinum,workers,Card,1,1893.16
130,2019-02-20,151332,Female,49,Married,Nebraska,Basic,Employees,PayPal,1,1321.7
131,2019-02-20,151333,Male,52,Married,New Mexico,Basic,workers,Other,0,861.26
132,2019-02-21,151334,Male,18,Single,Alabama,Silver,Employees,Other,0,459.47
133,2019-02-21,151335,Male,71,Single,Oregon,Basic,workers,PayPal,0,685.01
134,2019-02-21,151336,Male,22,Married,New Mexico,Gold,workers,PayPal,0,1862.93
135,2019-02-21,151337,Female,54,Married,Michigan,Basic,Unemployment,PayPal,1,2831.72
136,2019-02-21,151338,Female,77,Married,Montana,Basic,workers,Other,1,875.44
137,2019-02-21,151339,Male,59,Married,Ohio,Basic,Employees,Other,1,435.79
138,2019-02-22,151340,Male,61,Married,California,Basic,self-employed,PayPal,1,670.59
139,2019-02-23,151341,Female,45,Married,Montana,Basic,Employees,PayPal,0,2497.39
140,2019-02-23,151342,Male,39,Married,Pennsylvania,Silver,workers,Other,1,93.11
141,2019-02-24,151343,Male,16,Married,Oklahoma,Gold,Employees,Card,1,2497.12
142,2019-02-25,151344,Female,28,Single,North Dakota,Silver,Employees,Card,1,1733.65
143,2019-02-26,151345,Male,25,Married,West Virginia,Basic,Employees,PayPal,1,2746.61
144,2019-02-26,151346,Female,42,Married,Arkansas,Silver,Employees,Card,1,2789.59
145,2019-02-26,151347,Female,28,Married,California,Basic,Employees,PayPal,1,1287.31
146,2019-02-27,151348,Male,63,Married,Arizona,Gold,Employees,PayPal,1,1747.91
147,2019-02-28,151349,Male,46,Single,Rhode Island,Platinum,workers,PayPal,1,214.92
148,2019-02-28,151350,Female,78,Single,Michigan,Basic,Employees,PayPal,0,2555.05
149,2019-03-01,151351,Female,75,Married,Oklahoma,Basic,self-employed,Other,1,1319.12
150,2019-03-01,151352,Female,64,Married,New York,Basic,Employees,PayPal,1,1581.77
151,2019-03-02,151353,Female,28,Single,Vermont,Silver,workers,Other,1,2422.79
152,2019-03-02,151354,Female,42,Single,Illinois,Silver,Employees,Card,1,971.01
153,2019-03-02,151355,Female,66,Married,Georgia,Basic,Employees,PayPal,1,783.89
154,2019-03-03,151356,Female,62,Married,Mississippi,Silver,Unemployment,Other,1,503.49
155,2019-03-03,151357,Male,15,Married,Florida,Gold,Employees,Other,1,1790.9
156,2019-03-03,151358,Male,76,Married,Georgia,Missing,workers,Other,1,1832.59
157,2019-03-04,151359,Female,53,Married,Nevada,Platinum,self-employed,PayPal,0,71.73
158,2019-03-04,151360,Male,39,Married,Idaho,Basic,Employees,PayPal,1,2486.94
159,2019-03-04,151361,Female,58,Married,North Carolina,Silver,Employees,PayPal,1,520.69
160,2019-03-05,151362,Female,30,Married,New Jersey,Gold,Employees,Card,1,918.51
161,2019-03-05,151363,Female,17,Single,West Virginia,Basic,self-employed,PayPal,1,1070.97
162,2019-03-05,151364,Female,40,Married,Colorado,Missing,self-employed,PayPal,1,1089.97
163,2019-03-06,151365,Female,20,Married,Georgia,Silver,self-employed,PayPal,1,1618.44
164,2019-03-06,151366,Male,46,Married,Alaska,Platinum,Unemployment,Other,1,2417.73
165,2019-03-06,151367,Female,36,Single,Iowa,Basic,Others,PayPal,1,677.36
166,2019-03-07,151368,Female,20,Married,New York,Basic,workers,PayPal,1,2694.2
167,2019-03-07,151369,Female,20,Single,Minnesota,Basic,Employees,PayPal,0,922.31
168,2019-03-07,151370,Female,30,Married,Maryland,Platinum,workers,PayPal,1,350.68
169,2019-03-07,151371,Male,40,Married,Rhode Island,Silver,workers,Card,1,1152.11
170,2019-03-07,151372,Male,45,Single,Ohio,Basic,Employees,Other,1,1742.52
171,2019-03-08,151373,Female,17,Single,Hawaii,Silver,Employees,Card,1,655.42
172,2019-03-08,151374,Female,40,Married,Idaho,Silver,workers,Other,0,1977.22
173,2019-03-09,151375,Female,47,Married,West Virginia,Basic,workers,Other,0,1829.32
174,2019-03-09,151376,Male,37,Married,Oklahoma,Basic,Employees,Card,1,782.67
175,2019-03-10,151378,Female,25,Single,Wyoming,Platinum,Unemployment,Card,1,2740.57
176,2019-03-10,151379,Female,32,Single,Arkansas,Basic,workers,Other,1,215.16
177,2019-03-10,151380,Female,17,Married,Mississippi,Basic,Unemployment,Card,1,1277.84
178,2019-03-11,151381,Male,47,Single,Alabama,Basic,Employees,PayPal,1,1500.59
179,2019-03-12,151382,Female,62,Married,New Mexico,Platinum,Employees,Card,0,103.59
180,2019-03-12,151383,Male,33,Married,Delaware,Basic,Employees,Other,1,1064.87
181,2019-03-13,151384,Female,72,Married,Nevada,Basic,self-employed,Other,1,89.91
182,2019-03-13,151385,Male,43,Married,Missouri,Silver,Employees,Card,0,2903.96
183,2019-03-13,151386,Female,34,Married,Alaska,Missing,workers,Card,0,1493.1
184,2019-03-14,151387,Female,49,Married,Oklahoma,Missing,Employees,PayPal,0,2562.52
185,2019-03-14,151389,Female,19,Married,Tennessee,Silver,workers,PayPal,1,1003.62
186,2019-03-14,151390,Male,47,Single,Wyoming,Gold,Unemployment,Other,1,234.19
187,2019-03-14,151391,Female,15,Married,Wyoming,Basic,Employees,PayPal,1,2089.53
188,2019-03-15,151392,Male,66,Married,Massachusetts,Silver,workers,PayPal,1,2698.5
189,2019-03-15,151394,Male,62,Single,Texas,Silver,Employees,Card,0,69.84
190,2019-03-16,151395,Male,67,Single,Illinois,Gold,Employees,Card,1,2562.33
191,2019-03-16,151396,Male,21,Single,Minnesota,Platinum,workers,PayPal,1,2635.13
192,2019-03-17,151398,Male,17,Married,Nevada,Silver,Employees,Other,1,1092.95
193,2019-03-17,151400,Male,15,Single,Maine,Basic,workers,Card,1,1038.55
194,2019-03-18,151401,Male,64,Single,North Carolina,Platinum,Unemployment,Card,1,2590.51
195,2019-03-19,151402,Male,54,Single,North Dakota,Basic,Employees,Card,1,1659.73
196,2019-03-20,151403,Female,45,Single,Montana,Platinum,Employees,PayPal,1,968.41
197,2019-03-20,151404,Female,43,Married,Maine,Silver,workers,PayPal,0,705.68
198,2019-03-20,151405,Male,26,Married,Minnesota,Basic,Employees,Card,0,982.4
199,2019-03-21,151406,Male,17,Single,North Carolina,Basic,self-employed,Other,1,1390.46
200,2019-03-21,151407,Male,78,Married,Idaho,Silver,workers,Card,0,378.43
201,2019-03-21,151408,Female,65,Married,Vermont,Platinum,Employees,Card,1,61.35
202,2019-03-21,151409,Male,19,Single,Massachusetts,Basic,Unemployment,PayPal,1,1081.9
203,2019-03-21,151411,Female,35,Single,New Mexico,Basic,workers,PayPal,0,2878.76
204,2019-03-22,151412,Female,41,Married,Michigan,Silver,Employees,PayPal,1,225.14
205,2019-03-22,151413,Male,59,Single,Missouri,Platinum,workers,Other,1,2452.97
206,2019-03-22,151414,Female,64,Married,Vermont,Platinum,workers,Other,1,2054.68
207,2019-03-23,151415,Female,15,Single,New York,Basic,self-employed,PayPal,1,1690.62
208,2019-03-23,151416,Female,58,Married,Kentucky,Basic,Employees,PayPal,1,931.82
209,2019-03-23,151417,Male,62,Married,Vermont,Basic,Employees,Card,1,2875.62
210,2019-03-23,151418,Male,41,Single,Virginia,Basic,Employees,Card,1,1326.62
211,2019-03-23,151419,Female,62,Married,North Carolina,Silver,Employees,PayPal,1,2909.85
212,2019-03-24,151420,Female,18,Single,Florida,Silver,workers,PayPal,1,2493.01
213,2019-03-24,151421,Male,63,Married,Indiana,Gold,self-employed,Card,1,414.51
214,2019-03-25,151422,Female,71,Married,Oklahoma,Gold,workers,PayPal,1,1865.09
215,2019-03-25,151424,Female,51,Married,Oklahoma,Platinum,workers,PayPal,1,1165.53
216,2019-03-25,151426,Female,78,Single,Indiana,Basic,Employees,PayPal,1,1264.81
217,2019-03-26,151427,Male,70,Married,South Dakota,Platinum,Employees,PayPal,1,1989.96
218,2019-03-27,151429,Male,16,Married,Idaho,Basic,self-employed,PayPal,1,387.77
219,2019-03-28,151430,Female,18,Single,Illinois,Basic,Unemployment,PayPal,1,2589.36
220,2019-03-29,151431,Female,53,Single,Virginia,Platinum,workers,PayPal,0,1494.1
221,2019-03-29,151432,Female,47,Single,South Carolina,Silver,workers,Card,1,2779.66
222,2019-03-29,151433,Male,57,Married,New Jersey,Platinum,Unemployment,Other,1,841.23
223,2019-03-29,151435,Male,19,Married,Massachusetts,Gold,workers,Other,1,2694.54
224,2019-03-29,151436,Male,64,Single,Mississippi,Basic,Employees,Card,0,2432.67
225,2019-03-29,151437,Male,57,Single,Nevada,Basic,self-employed,PayPal,1,80.64
226,2019-03-30,151438,Female,67,Married,South Carolina,Basic,workers,PayPal,1,2960.41
227,2019-03-30,151439,Female,53,Married,New Hampshire,Basic,workers,Other,0,2600.69
228,2019-03-30,151440,Female,68,Married,Ohio,Basic,Employees,PayPal,1,550.44
229,2019-03-31,151441,Female,44,Single,Virginia,Platinum,Others,PayPal,1,1226.06
230,2019-03-31,151442,Female,78,Married,New York,Missing,Employees,PayPal,1,2959.54
231,2019-03-31,151443,Female,76,Single,Vermont,Platinum,Employees,Other,1,1672.01
232,2019-03-31,151444,Female,60,Single,New Jersey,Basic,self-employed,Card,1,1891.16
233,2019-03-31,151445,Female,45,Married,Arizona,Basic,workers,Card,1,1692.07
234,2019-04-01,151446,Male,54,Single,West Virginia,Gold,self-employed,PayPal,1,485.43
235,2019-04-01,151447,Female,57,Single,Georgia,Basic,Unemployment,PayPal,1,625.29
236,2019-04-01,151448,Male,48,Single,Wisconsin,Basic,self-employed,PayPal,1,1471.54
237,2019-04-02,151449,Male,62,Married,New Mexico,Gold,self-employed,PayPal,0,1200.69
238,2019-04-02,151450,Male,27,Single,California,Basic,Employees,PayPal,1,1929.33
239,2019-04-02,151452,Male,57,Married,Texas,Silver,Employees,PayPal,1,2670.72
240,2019-04-03,151454,Male,34,Married,Texas,Basic,self-employed,Card,0,1901.16
241,2019-04-04,151455,Female,48,Married,Alaska,Gold,workers,Card,0,1728.06
242,2019-04-04,151456,Female,50,Married,New Mexico,Basic,Unemployment,Card,1,2863.62
243,2019-04-04,151457,Female,49,Single,Hawaii,Basic,workers,PayPal,1,1822.31
244,2019-04-04,151458,Female,77,Single,Arizona,Basic,self-employed,Card,0,711.52
245,2019-04-06,151461,Female,15,Married,Arizona,Basic,self-employed,PayPal,1,198.48
246,2019-04-06,151462,Female,58,Married,Mississippi,Basic,workers,PayPal,1,418.28
247,2019-04-06,151463,Male,27,Single,Oregon,Silver,workers,PayPal,0,913.81
248,2019-04-07,151465,Female,36,Married,Texas,Platinum,Employees,Card,0,1608.01
249,2019-04-07,151466,Male,43,Married,Montana,Basic,Unemployment,PayPal,1,2681.13
250,2019-04-07,151467,Female,20,Married,Nevada,Basic,self-employed,Card,1,2414.29
251,2019-04-07,151468,Female,59,Married,Iowa,Gold,Employees,PayPal,0,2410.23
252,2019-04-08,151469,Female,73,Married,Texas,Basic,workers,PayPal,1,63.2
253,2019-04-08,151470,Female,32,Married,New York,Gold,Unemployment,Other,1,522.24
254,2019-04-08,151471,Female,51,Married,South Dakota,Silver,workers,PayPal,1,2558.27
255,2019-04-08,151472,Female,51,Married,Vermont,Basic,self-employed,Other,1,603.47
256,2019-04-09,151473,Female,45,Single,Colorado,Silver,Employees,Card,0,2790.3
257,2019-04-10,151474,Female,50,Married,South Carolina,Platinum,Employees,PayPal,1,801.07
258,2019-04-10,151475,Female,56,Married,Wyoming,Basic,Employees,PayPal,1,250.81
259,2019-04-10,151476,Female,74,Married,Florida,Basic,workers,Other,1,2076.39
260,2019-04-10,151477,Female,49,Married,Oklahoma,Platinum,workers,PayPal,1,2692.4
261,2019-04-10,151478,Male,22,Single,Pennsylvania,Basic,Employees,PayPal,1,2928.57
262,2019-04-11,151479,Female,71,Single,Vermont,Platinum,Employees,PayPal,1,1707.96
263,2019-04-11,151480,Male,59,Married,Mississippi,Basic,self-employed,Card,1,2501.05
264,2019-04-11,151481,Female,46,Married,Oklahoma,Basic,Employees,Card,1,1757.27
265,2019-04-11,151482,Male,47,Single,Georgia,Platinum,workers,PayPal,1,1994.46
266,2019-04-11,151483,Female,60,Single,Indiana,Silver,workers,PayPal,0,1925.0
267,2019-04-11,151484,Male,56,Single,Florida,Missing,workers,Other,1,1600.96
268,2019-04-12,151485,Female,55,Married,Arizona,Basic,self-employed,Other,1,2773.68
269,2019-04-12,151486,Male,43,Single,Nebraska,Silver,self-employed,PayPal,1,2749.66
270,2019-04-13,151488,Female,37,Single,Arizona,Silver,workers,Other,1,1733.91
271,2019-04-13,151489,Male,39,Single,Mississippi,Silver,Others,Card,0,329.2
272,2019-04-13,151490,Female,73,Married,Wisconsin,Basic,Unemployment,PayPal,1,2787.95
273,2019-04-14,151491,Male,48,Married,California,Platinum,workers,PayPal,1,910.97
274,2019-04-14,151492,Female,78,Single,Oregon,Silver,workers,PayPal,0,7.44
275,2019-04-14,151493,Male,53,Single,Colorado,Basic,Employees,Card,1,1342.22
276,2019-04-15,151495,Female,55,Married,North Dakota,Basic,Employees,PayPal,1,2084.64
277,2019-04-16,151496,Female,63,Single,Hawaii,Silver,workers,PayPal,0,945.7
278,2019-04-16,151497,Female,15,Single,South Dakota,Missing,Employees,PayPal,0,1380.2
279,2019-04-17,151498,Male,57,Single,Kentucky,Basic,Unemployment,PayPal,0,663.43
280,2019-04-17,151499,Female,50,Married,Indiana,Basic,self-employed,Card,1,1394.19
281,2019-04-17,151500,Male,37,Single,Missouri,Silver,Employees,PayPal,0,638.49
282,2019-04-17,151501,Male,28,Single,Alaska,Platinum,Employees,PayPal,0,1834.95
283,2019-04-17,151502,Male,18,Married,Arizona,Basic,Unemployment,Card,1,1835.84
284,2019-04-17,151503,Female,35,Single,Illinois,Gold,workers,Card,1,1884.42
285,2019-04-18,151504,Female,70,Married,Nevada,Basic,Employees,PayPal,1,1176.71
286,2019-04-19,151505,Female,50,Married,Vermont,Basic,Employees,PayPal,0,53.82
287,2019-04-19,151506,Female,54,Married,Maine,Platinum,workers,PayPal,0,982.39
288,2019-04-19,151507,Female,48,Married,Kentucky,Basic,workers,PayPal,1,1690.7
289,2019-04-20,151509,Female,30,Married,Michigan,Platinum,Employees,PayPal,1,2703.18
290,2019-04-20,151510,Female,38,Married,Texas,Basic,Employees,PayPal,0,281.95
291,2019-04-20,151511,Male,32,Married,Hawaii,Basic,self-employed,Other,1,338.98
292,2019-04-21,151512,Male,67,Married,Pennsylvania,Silver,workers,PayPal,0,883.97
293,2019-04-21,151513,Female,58,Married,Vermont,Silver,Employees,PayPal,1,2861.87
294,2019-04-21,151514,Male,31,Married,Oregon,Basic,Unemployment,Other,1,975.49
295,2019-04-21,151515,Male,42,Single,Ohio,Basic,workers,Other,1,421.83
296,2019-04-21,151516,Male,62,Married,Alaska,Basic,Employees,Other,1,588.88
297,2019-04-21,151517,Male,54,Single,New York,Platinum,Employees,Other,0,2463.7
298,2019-04-21,151518,Male,66,Single,Connecticut,Silver,workers,PayPal,0,639.44
299,2019-04-21,151519,Female,43,Single,Oklahoma,Basic,workers,PayPal,0,52.2
300,2019-04-22,151521,Female,40,Married,Florida,Gold,Employees,Card,0,2092.27
301,2019-04-22,151523,Female,42,Married,Michigan,Basic,Employees,Other,1,2969.97
302,2019-04-22,151524,Male,70,Married,Kansas,Basic,self-employed,PayPal,0,492.4
303,2019-04-23,151525,Female,42,Married,Pennsylvania,Basic,workers,PayPal,1,131.92
304,2019-04-23,151526,Male,22,Married,New Hampshire,Silver,Employees,Other,1,2621.53
305,2019-04-24,151527,Female,17,Married,Kentucky,Basic,Employees,Card,0,2062.18
306,2019-04-25,151528,Male,17,Single,Texas,Basic,workers,Card,0,930.13
307,2019-04-25,151529,Male,54,Married,Florida,Missing,Employees,Card,1,877.61
308,2019-04-25,151530,Female,55,Married,California,Basic,Employees,PayPal,0,2491.79
309,2019-04-26,151531,Female,30,Married,North Carolina,Missing,self-employed,Card,1,2660.45
310,2019-04-26,151532,Male,61,Single,New York,Silver,Employees,Other,0,2910.02
311,2019-04-26,151533,Male,48,Married,Oklahoma,Basic,self-employed,PayPal,1,2929.12
312,2019-04-26,151534,Female,42,Married,New Jersey,Basic,Unemployment,PayPal,0,1095.86
313,2019-04-27,151535,Female,54,Married,Florida,Basic,Employees,PayPal,1,692.54
